,VIX,S&P500,VBMFX,VFINX
2020-06-09,27.56999969482422,6564.27001953125,11.44215202331543,294.55828857421875
2020-06-10,27.56999969482422,6529.419921875,11.481812477111816,292.9920959472656
2020-06-11,40.790000915527344,6145.2998046875,11.491727828979492,275.75439453125
2020-06-12,36.09000015258789,6227.419921875,11.47189712524414,279.431884765625
2020-06-15,34.400001525878906,6279.39990234375,11.461982727050781,281.771240234375
2020-06-16,33.66999816894531,6398.580078125,11.47189712524414,287.114013671875
2020-06-17,33.470001220703125,6375.5400390625,11.47189712524414,286.0831298828125
2020-06-18,32.939998626708984,6379.56005859375,11.491727828979492,286.25164794921875
2020-06-19,35.119998931884766,6344.7001953125,11.501643180847168,284.68548583984375
2020-06-22,31.770000457763672,6385.91015625,11.491727828979492,286.53912353515625
2020-06-23,31.3700008392334,6413.43994140625,11.481812477111816,287.76824951171875
2020-06-24,33.84000015258789,6247.66015625,11.491727828979492,280.33392333984375
2020-06-25,32.220001220703125,6316.4501953125,11.491727828979492,283.42657470703125
2020-06-26,34.72999954223633,6163.5,11.521472930908203,276.529541015625
2020-06-29,31.780000686645508,6254.77978515625,11.511558532714844,280.62298583984375
2020-06-30,30.43000030517578,6351.669921875,11.532418251037598,284.9653625488281
2020-07-01,28.6200008392334,6383.759765625,11.532418251037598,286.3995666503906
2020-07-02,27.68000030517578,6414.16015625,11.552284240722656,287.7640380859375
2020-07-06,27.940000534057617,6516.0498046875,11.542350769042969,292.33551025390625
2020-07-07,29.43000030517578,6445.58984375,11.582083702087402,289.1683349609375
2020-07-08,28.079999923706055,6496.14013671875,11.572149276733398,291.43914794921875
2020-07-09,29.260000228881836,6461.31005859375,11.601949691772461,289.8754577636719
2020-07-10,27.290000915527344,6528.9599609375,11.582083702087402,292.9031982421875
2020-07-13,32.189998626708984,6467.83984375,11.592016220092773,290.164306640625
2020-07-14,29.520000457763672,6555.39990234375,11.592016220092773,294.0884094238281
2020-07-15,27.760000228881836,6615.06982421875,11.592016220092773,296.7675476074219
2020-07-16,28.0,6592.75,11.611882209777832,295.7616271972656
2020-07-17,25.68000030517578,6611.85986328125,11.611882209777832,296.6181640625
2020-07-20,24.459999084472656,6667.4501953125,11.621816635131836,299.1080627441406
2020-07-21,24.84000015258789,6678.740234375,11.631749153137207,299.6159973144531
2020-07-22,24.31999969482422,6717.2900390625,11.65161418914795,301.3390197753906
2020-07-23,26.079999923706055,6635.0400390625,11.67148208618164,297.6539306640625
2020-07-24,25.84000015258789,6594.10009765625,11.661547660827637,295.8114318847656
2020-07-27,24.739999771118164,6642.89013671875,11.65161418914795,298.0025329589844
2020-07-28,25.440000534057617,6599.97021484375,11.67148208618164,296.07037353515625
2020-07-29,24.100000381469727,6682.009765625,11.67148208618164,299.75543212890625
2020-07-30,24.760000228881836,6658.02001953125,11.681414604187012,298.68975830078125
2020-07-31,24.459999084472656,6709.81005859375,11.711265563964844,301.0003967285156
2020-08-03,24.280000686645508,6758.2001953125,11.711265563964844,303.1716003417969
2020-08-04,23.760000228881836,6782.60009765625,11.731165885925293,304.26715087890625
2020-08-05,22.989999771118164,6826.22021484375,11.711265563964844,306.21923828125
2020-08-06,22.649999618530273,6870.85986328125,11.731165885925293,308.22113037109375
2020-08-07,22.209999084472656,6876.64990234375,11.72121524810791,308.4801025390625
